cn_id,split,hateSpeech,counterSpeech,cs_keywords_score,cs_keywords_frequency,sorted_cs_keywords,hs_keywords,hs_keywords_score,hs_keywords_frequency,sorted_hs_keywords,sorted_generated_cn_keywords,generated_cn_keywords
ENT1ST0001HS0033CN000021,train,"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.","To be fair, the OFSTED report is more concerned with lack of enforcement and less about focussing on the practice of any particular faith.","286.36400000000003, 90.90899999999999, 90.90899999999999, 90.90899999999999, 45.455, 45.455, 45.455","1, 1, 1, 1, 1, 1, 1","lack of enforcement', 'focussing', 'concerned', 'ofsted report', 'practice', 'fair', 'particular faith'","hight court ruling, recent ofsted report, school in birmingham, girls, boys, unlawful, segregating","150.0, 150.0, 150.0, 50.0, 50.0, 50.0, 50.0","1, 1, 1, 1, 1, 1, 1","hight court ruling, recent ofsted report, school in birmingham, unlawful, segregating, boys, girls",,
ENT1ST0001HS0033CN000022,train,"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.","While this story is presented as an 'Islamic issue', the OFSTED report refers to 'countless' faith schools still that still illegally maintain gender segregation - my guess is this is a cross-faith practice and not exclusive to Islamic faith schools.","120.0, 85.714, 57.143, 57.143, 57.143, 57.143, 28.570999999999998, 28.570999999999998, 28.570999999999998, 28.570999999999998","1, 1, 1, 1, 1, 1, 1, 1, 1, 1","islamic faith schools', 'cross-faith practice', 'countless', 'faith schools', 'ofsted report', 'guess', 'story', 'gender segregation', 'islamic issue', 'exclusive'","hight court ruling, recent ofsted report, school in birmingham, girls, boys, unlawful, segregating","150.0, 150.0, 150.0, 50.0, 50.0, 50.0, 50.0","1, 1, 1, 1, 1, 1, 1","hight court ruling, recent ofsted report, school in birmingham, unlawful, segregating, boys, girls",,
ENT1ST0001HS0033CN000023,train,"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.","The quoted report refers to 'countless faith schools' that illegally maintain gender segregation. Isn't it more accurate to frame this as a matter of lack of resources for enforcement, rather than presenting the story as an 'Islamic issue'?","185.294, 123.529, 88.235, 88.235, 58.824, 29.412, 29.412, 29.412, 29.412","1, 1, 1, 1, 1, 1, 1, 1, 1","resources for enforcement', 'matter of lack', 'countless faith schools', 'presenting', 'accurate', 'story', 'gender segregation', 'islamic issue', 'report'","hight court ruling, recent ofsted report, school in birmingham, girls, boys, unlawful, segregating","150.0, 150.0, 150.0, 50.0, 50.0, 50.0, 50.0","1, 1, 1, 1, 1, 1, 1","hight court ruling, recent ofsted report, school in birmingham, unlawful, segregating, boys, girls",,
ENT1ST0001HS0033CN000024,train,"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.","Gender segregation in faith schools is clearly a negative, but hardly exclusive to some Islamic schools. I was 15 before I attended mixed classes, but then, this was regarded as normal in the 1960's / 70's. The issue is really, if we are to allow faith based education, we need effective mechanisms to uphold standards, and legal requirements.","70.0, 70.0, 33.333, 33.333, 33.333, 33.333, 33.333, 16.667, 16.667, 16.667, 16.667, 16.667","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","based education', 'mixed classes', 'islamic schools', 'legal requirements', 'effective mechanisms', 'standards', 'faith schools', 'gender segregation', 'negative', 'exclusive', 'issue', 'faith'","hight court ruling, recent ofsted report, school in birmingham, girls, boys, unlawful, segregating","150.0, 150.0, 150.0, 50.0, 50.0, 50.0, 50.0","1, 1, 1, 1, 1, 1, 1","hight court ruling, recent ofsted report, school in birmingham, unlawful, segregating, boys, girls",,
ENT1ST0001HS0046CN000014,train,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.","55.556000000000004, 55.556000000000004, 27.778000000000002, 27.778000000000002, 27.778000000000002, 27.778000000000002, 27.778000000000002","1, 1, 1, 1, 1, 1, 1","media attempting', 'whole truth', 'cse', 'scapegoat', 'blind', 'individuals', 'religion'","muslim grooming gangs, own people, politicians, police, covering, traitors","200.0, 133.333, 66.667, 66.667, 66.667, 66.667","1, 1, 1, 1, 1, 1","own people, covering, traitors, muslim grooming gangs, politicians, police",,
ENT1ST0001HS0046CN000015,train,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,"222.222, 55.556000000000004, 55.556000000000004, 55.556000000000004, 55.556000000000004","1, 1, 1, 1, 1","look like police collusion', 'huddersfield', 'rochdale', 'grooming', 'gangs'","muslim grooming gangs, own people, politicians, police, covering, traitors","200.0, 133.333, 66.667, 66.667, 66.667, 66.667","1, 1, 1, 1, 1, 1","own people, covering, traitors, muslim grooming gangs, politicians, police",,
ENT1ST0001HS0046CN000017,train,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.","136.364, 90.90899999999999, 90.90899999999999, 45.455","1, 1, 1, 1","actions of individuals', 'catholic church', 'only cover', 'whole'","muslim grooming gangs, own people, politicians, police, covering, traitors","200.0, 133.333, 66.667, 66.667, 66.667, 66.667","1, 1, 1, 1, 1, 1","own people, covering, traitors, muslim grooming gangs, politicians, police",,
ENT1ST0001HS0046CN000018,train,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.","100.0, 100.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0","1, 1, 1, 1, 1, 1, 1, 1","non-muslim sex-offenders', 'good job', 'protecting', 'prosecuting', 'wait', 'catching', 'police', 'victims'","muslim grooming gangs, own people, politicians, police, covering, traitors","200.0, 133.333, 66.667, 66.667, 66.667, 66.667","1, 1, 1, 1, 1, 1","own people, covering, traitors, muslim grooming gangs, politicians, police",,
ENT1ST0001HS0046CN000019,train,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,"77.778, 74.074, 74.074, 37.037, 37.037, 37.037","1, 1, 1, 1, 1, 1","only reason', 'first place', 'bbc', 'institution', 'gangs', 'church'","muslim grooming gangs, own people, politicians, police, covering, traitors","200.0, 133.333, 66.667, 66.667, 66.667, 66.667","1, 1, 1, 1, 1, 1","own people, covering, traitors, muslim grooming gangs, politicians, police",,
ENT1ST0001HS0046CN000020,train,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,The only traitors are the conspiracy theorists who spread this kind of misinformation.,"630.0, 420.0, 200.0","1, 1, 2001","kind of misinformation', 'conspiracy theorists', 'only traitors'","muslim grooming gangs, own people, politicians, police, covering, traitors","200.0, 133.333, 66.667, 66.667, 66.667, 66.667","1, 1, 1, 1, 1, 1","own people, covering, traitors, muslim grooming gangs, politicians, police",,
